"('washingbrush', 'mask_control', 'left')","(30.890600736956571, -11.790688189950345, 'correction awayHandle')"
"('carrot', 'mask_left', 'left')","(-7.5737207372854982, -2.77714284647368, 'correction smaller than 15')"
"('hammer', 'mask_right', 'left')","(34.142039171134684, 3.6403482412985113, 'correction awayHandle')"
"('mallet', 'mask_control', 'left')","(36.452505201171562, 0.41677565302404673, 'correction awayHandle')"
"('sharpeningsteel', 'mask_control', 'left')","(-21.753456823547083, -7.4402257957216307, 'correction towardsHandle')"
"('paintbrush', 'mask_right', 'left')","(26.669866316548337, -0.11406582563898837, 'correction awayHandle')"
"('spoon', 'mask_control', 'left')","(13.457867994280718, -7.2922928150542248, 'correction smaller than 15')"
"('fork', 'mask_control', 'right')","(-32.168413669250413, -1.0487213951288936, 'correction awayHandle')"
"('mallet', 'mask_right', 'right')","(-38.417787226670725, 0.027681000642985509, 'correction awayHandle')"
"('chisel2', 'mask_control', 'right')","(1.2057513206389672, -1.2852461995062754, 'correction smaller than 15')"
"('knife', 'mask_control', 'right')","(1.81524104517257, -7.8248962657203265, 'correction smaller than 15')"
"('washingbrush', 'mask_left', 'left')","(33.989518853863615, -12.354627071135496, 'correction awayHandle')"
"('roller', 'mask_control', 'left')","(2.5119474817734613, -1.662906206719299, 'correction smaller than 15')"
"('ruler', 'mask_left', 'right')","(11.936519734193041, 5.501021536811038, 'correction smaller than 15')"
"('spoon2', 'mask_control', 'left')","(12.0262630063948, 2.464755894331347, 'correction smaller than 15')"
"('washingbrush', 'mask_right', 'right')","(-33.989518853863615, -12.354627071135496, 'correction awayHandle')"
"('paintbrush', 'mask_left', 'left')","(34.225227489269798, -0.052072898832079773, 'correction awayHandle')"
"('carrot', 'mask_right', 'right')","(7.5737207372854982, -2.77714284647368, 'correction smaller than 15')"
